Time,R0_team,R0_id,R0_x,R0_y,R0_theta,R1_team,R1_id,R1_x,R1_y,R1_theta,R2_team,R2_id,R2_x,R2_y,R2_theta,R3_team,R3_id,R3_x,R3_y,R3_theta,R4_team,R4_id,R4_x,R4_y,R4_theta,R5_team,R5_id,R5_x,R5_y,R5_theta,R6_team,R6_id,R6_x,R6_y,R6_theta,R7_team,R7_id,R7_x,R7_y,R7_theta,R8_team,R8_id,R8_x,R8_y,R8_theta,R9_team,R9_id,R9_x,R9_y,R9_theta
0.83,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.47,-6.71,231.70,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
0.88,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.47,-6.71,231.65,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
0.93,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.47,-6.71,231.60,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
0.98,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.40,-6.62,231.55,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.03,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.35,-6.53,231.51,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.08,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.31,-6.43,231.46,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.13,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.31,-6.33,231.41,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.18,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.34,-6.23,231.36,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.23,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.38,-6.13,231.32,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.28,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.41,-6.03,231.27,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.33,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.45,-5.93,231.22,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.38,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.49,-5.83,231.17,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.43,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.52,-5.73,231.12,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.48,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.49,-5.63,231.08,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
1.53,1,0,6.00,1.00,180.00,1,1,6.00,-1.00,180.00,1,2,6.00,2.00,180.00,1,3,6.00,-3.00,180.00,1,4,6.00,-7.00,180.00,2,0,6.43,-5.56,231.03,2,1,-7.00,2.00,180.00,2,2,-7.00,4.00,180.00,2,3,-7.00,-2.00,180.00,2,4,-7.00,-4.00,180.00
